
[rides]
name,rideBonusValue,excitementValue,intensityValue,nauseaValue,EIN_table_name,visible_name,defaultExcitement,defaultIntensity,defaultNausea;
Swinging Inverter Ship,35,50,30,10,SwingingInverterShip,Swinging Inverter Ship,376,468,472;
Swinging Ship,35,50,30,10,SwingingShip,Swinging Ship,251,245,251;
Top Spin,55,24,20,10,TopSpin,Top Spin,244,507,599;
Twist,40,40,20,10,Twist,Twist,200,157,250;
Chairlift,55,70,10,0,Chairlift,Chairlift,299,66,62;
Lift,45,80,10,0,Lift,Lift,288,35,46;
Miniature Railway,50,70,6,-10,MiniatureRailway,Miniature Railway,463,30,4;
Monorail,60,70,6,-10,Monorail,Monorail,270,16,4;
Suspended Monorail,60,70,6,-10,SuspendedMonorail,Suspended Monorail,369,44,14;
Boat Hire,40,70,6,0,BoatHire,Boat Hire,232,82,92;
Dinghy Slide,55,50,30,10,DinghySlide,Dinghy Slide,466,566,340;
Log Flume,65,80,34,6,LogFlume,Log Flume,428,225,114;
River Rafts,65,80,34,6,RiverRafts,River Rafts,258,40,40;
River Rapids,70,72,26,6,RiverRapids,River Rapids,431,142,88;
Splash Boats,65,80,34,6,SplashBoats,Splash Boats,432,202,102;
Submarine Ride,40,70,6,0,SubmarineRide,Submarine Ride,289,180,140;

[aliases]
name,OG_rowid,OG_name,is_visible,excitement_modifier,intensity_modifier,nausea_modifier;
Classic Mini Coaster,3,Classic Mini Roller Coaster,0,,,;
Coffee Cup Ride,67,Twist,1,,,;
Corkscrew Coaster,5,Corkscrew Roller Coaster,0,,,;
Diamond Ride,67,Twist,1,,,;
Dinosaur Egg Ride,67,Twist,1,,,;
Flying Coaster,6,Flying Roller Coaster,0,,,;
Inverted Coaster,14,Inverted Roller Coaster,0,,,;
Junior Coaster,15,Junior Roller Coaster,0,,,;
Lay-down Coaster,16,Lay Down Roller Coaster,0,,,;
LIM Launched Coaster,17,LIM Launched Roller Coaster,0,,,;
Looping Coaster,18,Looping Roller Coaster,0,,,;
Mini Coaster,21,Mini Roller Coaster,0,,,;
Multi-dimension Coaster,23,Multi Dimension Roller Coaster,0,,,;
Pirate Ship,65,Swinging Ship,1,,,;
Reverse Coaster,25,Reverser Roller Coaster,0,,,;
Side Friction Coaster,26,Side Friction Roller Coaster,0,,,;
Spiral Coaster,29,Spiral Roller Coaster,0,,,;
Stand-up Coaster,30,Stand Up Roller Coaster,0,,,;
Stand-up Roller Coaster,30,Stand Up Roller Coaster,1,,,;
Tommy Gun Ride,67,Twist,1,,,;
Twister Coaster,34,Twister Roller Coaster,0,,,;
Water Slide,74,Dinghy Slide,1,,,;
Wooden Coaster,38,Wooden Roller Coaster,0,,,;
Merry-Go-Round,49,Merry Go Round,1,,,;

[age_modifiers]
age_start,age_end,multiplier,divisor,addition;
0,5,3,2,0;
5,13,6,5,0;
13,40,1,1,0;
40,64,3,4,0;
64,88,9,16,0;
88,104,27,64,0;
104,120,81,256,0;
120,128,81,512,0;
128,200,81,1024,0;
200,,9,16,0;

[age_modifiers_classic]
age_start,age_end,multiplier,divisor,addition;
0,5,1,1,30;
5,13,1,1,10;
13,40,1,1,0;
40,64,3,4,0;
64,88,9,16,0;
88,104,27,64,0;
104,120,81,256,0;
120,128,81,512,0;
128,200,81,1024,0;
200,,9,16,0;
